city,make,model,name,owner,state,type,url,year,zip,average_turnover,total_turnover,total_trips_days,observed_trips
Austin,Land Rover,Range Rover Sport,Dream Moore's Land Rover,Dream Moore ..,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/land-rover/range-rover-sport/996503,2021,78701,0.00,0,0,0
Austin,BMW,I8,BMW i8 Roadster,Ryan S.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/bmw/i8/606571,2019,78701,43.00,299,1,1
Austin,Land Rover,Range Rover,Supercharged Range Rover,Allison L.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/land-rover/range-rover/928586,2018,78701,248.00,1733,7,1
Austin,Vanderhall,Venice,Dream's Vanderhall Venice,Dream Moore ..,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/vanderhall/venice/931480,2021,78701,0.00,0,0,0
Austin,Tesla,Model X,Archie's Tesla,Archie M.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/tesla/model-x/920349,2018,78701,0.00,0,0,0
Austin,Polaris,Slingshot,Dream Moore's Polaris,Dream Moore ..,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/polaris/slingshot/921116,2020,78701,20.00,135,1,1
Austin,Tesla,Model 3,Sam's Tesla,Sam Y.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/tesla/model-3/864362,2019,78701,0.00,0,0,0
Austin,Land Rover,Range Rover Sport,Ryan’s Range,Allison L.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/land-rover/range-rover-sport/965393,2019,78701,206.00,1440,6,1
Austin,Chevrolet,Corvette,Hashim's Chevrolet,Dream Moore ..,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/chevrolet/corvette/913170,2019,78701,0.00,0,0,0
Austin,Land Rover,Range Rover Sport,White Range Rover  Sport,Allison L.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/land-rover/range-rover-sport/602421,2018,,0.00,0,0,0
Austin,Land Rover,Range Rover Sport,Champagne Range Rover Sport,Allison L.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/land-rover/range-rover-sport/928552,2021,78701,0.00,0,0,0
Austin,Volkswagen,Golf GTI,Jose's Volkswagen,Jose M.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/volkswagen/golf-gti/993421,2017,,0.00,0,0,0
Austin,BMW,5-Series,Hashim's BMW,Dream Moore ..,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/bmw/5-series/886575,2020,,0.00,0,0,1
Austin,Mercedes-benz,GLC-Class,Dream Moore's Mercedes-benz,Dream Moore ..,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/mercedes-benz/glc-class/1005857,2019,,0.00,0,0,1
Austin,Acura,MDX,Gabriela's Acura,Gabriela C.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/acura/mdx/857773,2020,,30.00,210,2,1
Austin,Acura,MDX,Red 2020 MDX,Dream Moore ..,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/acura/mdx/914605,2020,,13.00,87,1,1
Austin,Porsche,Panamera,Gregg's Panamera 2148,Gregg H.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/porsche/panamera/544197,2010,,25.00,170,1,1
Austin,BMW,3-Series,Dream Moore's BMW,Dream Moore ..,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/bmw/3-series/1006033,2021,,0.00,0,0,0
Austin,Volkswagen,Golf GTI,Paris's Volkswagen,Paris B.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/volkswagen/golf-gti/956955,2017,,0.00,0,0,0
Austin,Tesla,Model S,Gregg's Tesla,Gregg H.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/tesla/model-s/862791,2014,,46.00,316,2,1
Austin,BMW,X3,Lionsheart's BMW,Lionsheart L.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/bmw/x3/968516,2017,,0.00,0,0,0
Austin,Land Rover,Defender,Joseph's Land Rover,Joseph S.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/land-rover/defender/973550,2020,78701,0.00,0,0,0
Austin,Porsche,Macan,Gregg's Porsche Macan 4633,Gregg H.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/porsche/macan/638406,2015,,0.00,0,0,0
Austin,Chevrolet,Bolt EV,Gregg's Chevrolet,Gregg H.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/chevrolet/bolt-ev/1016746,2017,,45.00,314,7,1
Austin,Chevrolet,Volt,Gregg's Chevrolet,Gregg H.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/chevrolet/volt/983224,2012,,0.00,0,0,0
Austin,Mercedes-benz,GLC-Class,Cyan's Mercedes-Benz,Cyan D.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/mercedes-benz/glc-class/542691,2019,,39.00,267,3,1
Austin,Land Rover,Range Rover Sport,Zach's  Range Rover SVR,Zach H.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/land-rover/range-rover-sport/856603,2017,78701,0.00,0,0,0
Austin,Porsche,Cayenne,Fernando's Porsche,Fernando D.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/porsche/cayenne/885949,2016,,0.00,0,0,0
Austin,Land Rover,Discovery Sport,Chris's Land Rover Discovery Sport,Chris P.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/land-rover/discovery-sport/750984,2017,,0.00,0,0,0
Austin,Audi,A5,Nicole's Audi,Nicole T.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/audi/a5/746105,2012,,44.00,306,3,1
Austin,BMW,X4,Stephen's BMW,Stephen M.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/bmw/x4/978644,2021,78701,0.00,0,0,0
Austin,Porsche,Cayenne,Stephen's Porsche,Stephen M.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/porsche/cayenne/999029,2021,78701,0.00,0,0,0
Austin,FIAT,500e,Gregg's FIAT,Gregg H.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/fiat/500e/741796,2017,,20.00,135,3,1
Austin,Audi,SQ5,Stephen's Audi,Stephen M.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/audi/sq5/1003306,2021,78701,0.00,0,0,0
Austin,Toyota,Tacoma,Jacob's Toyota,Jacob S.,TX,truck,https://turo.com/us/en/truck-rental/united-states/austin-tx/toyota/tacoma/1019771,2020,,0.00,0,0,0
Austin,Maserati,Levante,Ashton's Maserati,Ashton P.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/maserati/levante/915890,2021,78701,0.00,0,0,0
Austin,Tesla,Model 3,Tyler's Tesla,Tyler R.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/tesla/model-3/845378,2019,78701,0.00,0,0,0
Austin,FIAT,500e,Gregg's FIAT,Gregg H.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/fiat/500e/928432,2014,,39.00,270,6,2
Austin,BMW,3 Series,Zachary's BMW,Zachary M.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/bmw/3-series/990186,2014,,68.00,470,5,1
Austin,Porsche,Boxster,Gregg's Porsche,Gregg H.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/porsche/boxster/658309,2015,78701,29.00,202,1,1
Austin,Porsche,911,Nicholas' Porsche 911,Nicholas C.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/porsche/911/494688,2006,78701,0.00,0,0,0
Austin,FIAT,500e,Gregg's FIAT,Gregg H.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/fiat/500e/849486,2017,,45.00,315,7,2
Austin,Nissan,Altima,Larry's Nissan,Larry S.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/nissan/altima/1014782,2020,,0.00,0,0,0
Austin,Aston Martin,DB9,nicholas's Aston Martin,Nicholas C.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/aston-martin/db9/729922,2007,78701,0.00,0,0,0
Austin,Ford,Mustang,Elliott's GT,Elliott D.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/ford/mustang/607544,2016,78701,0.00,0,0,0
Austin,FIAT,500e,Gregg's FIAT,Gregg H.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/fiat/500e/884073,2017,,13.00,90,2,1
Austin,Tesla,Model 3,Austin's Tesla,Austin P.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/tesla/model-3/962000,2018,78701,0.00,0,0,0
Austin,Tesla,Model 3,Logan's Tesla,Logan S.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/tesla/model-3/774209,2020,,0.00,0,0,0
Austin,BMW,3 Series,Tony's BMW,Tony L.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/bmw/3-series/582311,2016,,0.00,0,0,0
Austin,Toyota,Camry,Alonso's Toyota,Alonso T.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/toyota/camry/682243,2014,,0.00,0,0,0
Austin,Jeep,Renegade,christopher's Jeep,Christopher F.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/jeep/renegade/827240,2015,,0.00,0,0,0
Austin,Toyota,Camry,Jonathan's Toyota,Jonathan L.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/toyota/camry/936091,2016,,65.00,450,6,2
Austin,Toyota,Corolla,Jonathan's Toyota,Jonathan L.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/toyota/corolla/937012,2018,,43.00,300,4,2
